Strategy,Rep=1,Rep=2,Rep=3,Rep=4,Rep=5,Rep=6,Rep=7,Rep=8,Rep=9,Rep=10
Block,70.59,84.87,85.95,86.64,87.38,87.95,88.18,88.24,88.29,88.29
Spec,64.36,84.47,87.44,88.41,88.86,88.86,88.92,89.03,89.15,89.15
SpecBva,86.98,90.92,91.32,91.43,91.72,91.83,91.83,91.83,91.83,91.83
