Strategy,X=1,X=2,X=3,X=4,X=5,X=6,X=7
Block,105.54,98.92,120.62,143.8,170.24,192.89,226.62
Spec,108.89,116.01,156.66,164.26,206.89,195.56,230.73
Spec_bva,317.09,302.15,394.8,377.72,382.29,369.25,392.0
