Strategy,Kill Rate (%),Expected Pipeline Time (s),Total Number of Tests,Average Number of Tests
Block,89.66,72.78659819365151,1626,13.897435897435898
Spec,89.92,65.76863662282216,1503,12.846153846153847
SpecBva,92.31,73.20490109094125,1880,16.068376068376068
