X,Strategy,Killed,Survived,Timeout,Error
1,Block,109,29,9,0
1,Spec,85,47,15,0
1,Spec_bva,119,11,17,0
2,Block,115,20,12,0
2,Spec,110,22,15,0
2,Spec_bva,120,10,17,0
3,Block,115,20,12,0
3,Spec,121,11,15,0
3,Spec_bva,123,7,17,0
4,Block,117,18,12,0
4,Spec,121,11,15,0
4,Spec_bva,123,7,17,0
5,Block,119,16,12,0
5,Spec,123,9,15,0
5,Spec_bva,123,7,17,0
6,Block,119,16,12,0
6,Spec,126,6,15,0
6,Spec_bva,124,6,17,0
7,Block,119,16,12,0
7,Spec,126,6,15,0
7,Spec_bva,124,6,17,0
