Strategy,Rep=1,Rep=2,Rep=3,Rep=4,Rep=5,Rep=6,Rep=7,Rep=8,Rep=9,Rep=10
Block,19.35,27.18,33.01,39.02,45.34,52.56,59.68,67.01,74.05,81.33
Path,24.54,38.8,51.86,67.09,87.2,100.17,114.74,129.83,147.18,168.44
Spec,18.79,27.11,32.98,38.52,44.59,50.39,56.88,63.37,69.8,76.15
SpecBva,32.15,38.57,45.13,51.57,58.53,65.67,72.0,78.25,84.41,90.56
