Strategy,Rep=1,Rep=2,Rep=3,Rep=4,Rep=5,Rep=6,Rep=7,Rep=8,Rep=9,Rep=10
Block,19.23,27.22,33.21,39.41,45.9,53.35,60.7,68.24,75.56,83.12
Spec,18.61,26.89,33.0,38.73,44.99,51.0,57.72,64.42,71.08,77.71
SpecBva,33.48,40.12,46.85,53.48,60.65,68.04,74.61,81.13,87.6,94.1
