Strategy,X=1,X=2,X=3,X=4,X=5,X=6,X=7
Block,66.24,57.55,65.22,69.16,76.11,82.54,90.01
Path,110.79,174.11,228.44,298.62,363.36,467.52,508.47
Spec,58.67,60.78,75.78,79.02,89.3,85.18,97.56
Spec_bva,101.63,95.84,131.95,121.43,120.38,120.58,127.84
