Strategy,Kill Rate (%),Total Time (s),Total Number of Tests,Average Number of Tests
Block,91.67,90.01027116500336,124,9.538461538461538
Path,97.92,508.47193228999095,133,10.23076923076923
Spec,95.83,97.55717408499913,133,10.23076923076923
Spec_bva,96.88,127.83647995701176,179,13.76923076923077
