Strategy,Kill Rate (%),Expected Pipeline Time (s),Total Number of Tests,Average Number of Tests
Block,89.5,75.37937739633657,1255,12.425742574257425
Path,89.08,181.07581908754221,1314,13.009900990099009
Spec,89.7,65.20609432123334,1273,12.603960396039604
SpecBva,92.28,71.57713775048124,1594,15.782178217821782
